"inteiro","representacao"
0,"zero"
50,"cinquenta"
100,"cem"
150,"cento e cinquenta"
200,"duzentos"
250,"duzentos e cinquenta"
300,"trezentos"
350,"trezentos e cinquenta"
400,"quatrocentos"
450,"quatrocentos e cinquenta"
500,"quinhentos"
550,"quinhentos e cinquenta"
600,"seiscentos"
650,"seiscentos e cinquenta"
700,"setecentos"
750,"setecentos e cinquenta"
800,"oitocentos"
850,"oitocentos e cinquenta"
900,"novecentos"
950,"novecentos e cinquenta"
1000,"mil"
1050,"mil e cinquenta"
1100,"mil e cem"
1150,"mil cento e cinquenta"
1200,"mil e duzentos"
1250,"mil duzentos e cinquenta"
1300,"mil e trezentos"
1350,"mil trezentos e cinquenta"
1400,"mil e quatrocentos"
1450,"mil quatrocentos e cinquenta"
1500,"mil e quinhentos"
1550,"mil quinhentos e cinquenta"
1600,"mil e seiscentos"
1650,"mil seiscentos e cinquenta"
1700,"mil e setecentos"
1750,"mil setecentos e cinquenta"
1800,"mil e oitocentos"
1850,"mil oitocentos e cinquenta"
1900,"mil e novecentos"
1950,"mil novecentos e cinquenta"
2000,"dois mil"
2050,"dois mil e cinquenta"
2100,"dois mil e cem"
2150,"dois mil cento e cinquenta"
2200,"dois mil e duzentos"
2250,"dois mil duzentos e cinquenta"
2300,"dois mil e trezentos"
2350,"dois mil trezentos e cinquenta"
2400,"dois mil e quatrocentos"
2450,"dois mil quatrocentos e cinquenta"
2500,"dois mil e quinhentos"
2550,"dois mil quinhentos e cinquenta"
2600,"dois mil e seiscentos"
2650,"dois mil seiscentos e cinquenta"
2700,"dois mil e setecentos"
2750,"dois mil setecentos e cinquenta"
2800,"dois mil e oitocentos"
2850,"dois mil oitocentos e cinquenta"
2900,"dois mil e novecentos"
2950,"dois mil novecentos e cinquenta"
3000,"três mil"
3050,"três mil e cinquenta"
3100,"três mil e cem"
3150,"três mil cento e cinquenta"
3200,"três mil e duzentos"
3250,"três mil duzentos e cinquenta"
3300,"três mil e trezentos"
3350,"três mil trezentos e cinquenta"
3400,"três mil e quatrocentos"
3450,"três mil quatrocentos e cinquenta"
3500,"três mil e quinhentos"
3550,"três mil quinhentos e cinquenta"
3600,"três mil e seiscentos"
3650,"três mil seiscentos e cinquenta"
3700,"três mil e setecentos"
3750,"três mil setecentos e cinquenta"
3800,"três mil e oitocentos"
3850,"três mil oitocentos e cinquenta"
3900,"três mil e novecentos"
3950,"três mil novecentos e cinquenta"
4000,"quatro mil"
4050,"quatro mil e cinquenta"
4100,"quatro mil e cem"
4150,"quatro mil cento e cinquenta"
4200,"quatro mil e duzentos"
4250,"quatro mil duzentos e cinquenta"
4300,"quatro mil e trezentos"
4350,"quatro mil trezentos e cinquenta"
4400,"quatro mil e quatrocentos"
4450,"quatro mil quatrocentos e cinquenta"
4500,"quatro mil e quinhentos"
4550,"quatro mil quinhentos e cinquenta"
4600,"quatro mil e seiscentos"
4650,"quatro mil seiscentos e cinquenta"
4700,"quatro mil e setecentos"
4750,"quatro mil setecentos e cinquenta"
4800,"quatro mil e oitocentos"
4850,"quatro mil oitocentos e cinquenta"
